"Title"	"Journal"	"Year"	"PMID"	"Abstract"
"26"	"Carbachol induces burst firing of dopamine cells in the ventral tegmental area by promoting calcium entry through L-type channels in the rat."	"The Journal of physiology"	2005	"16081481"	"Enhanced activity of the central dopamine system has been implicated in many psychiatric disorders including schizophrenia and addiction. Besides terminal mechanisms that boost dopamine levels at the synapse, the cell body of dopamine cells enhances terminal dopamine concentration through encoding action potentials in bursts. This paper presents evidence that burst firing of dopamine cells in the ventral tegmental area was under cholinergic control using nystatin-perforated patch clamp recording from slice preparations. The non-selective cholinergic agonist carbachol excited the majority of recorded neurones, an action that was not affected by blocking glutamate and GABA ionotropic receptors. Twenty per cent of dopamine cells responded to carbachol with robust bursting, an effect mediated by both muscarinic and nicotinic cholinoceptors postsynaptically. Burst firing induced as such was completely dependent on calcium entry as it could be blocked by cadmium and more specifically the L-type blocker nifedipine. In the presence of the sodium channel blocker tetrodotoxin, carbachol induced membrane potential oscillation that had similar kinetics and frequency as burst firing cycles and could also be blocked by cadmium and nifedipine. Direct activation of the L-type channel with Bay K8644 induced strong bursting which could be blocked by nifedipine but not by depleting internal calcium stores. These results indicate that carbachol increases calcium entry into the postsynaptic cell through L-type channels to generate calcium-dependent membrane potential oscillation and burst firing. This could establish the L-type channel as a target for modulating the function of the central dopamine system in disease conditions."
"27"	"Evaluation of the role of P-glycoprotein in the uptake of paroxetine, clozapine, phenytoin and carbamazapine by bovine retinal endothelial cells."	"Neuropharmacology"	2005	"15961125"	"Expression of the drug transport proteins, including P-glycoprotein (Pgp), in the brain vascular endothelium represents a challenge for the effective delivery of drugs for the treatment of several central nervous system (CNS) disorders including depression, schizophrenia and epilepsy. It has been hypothesized that Pgp plays a major role in drug efflux at the blood-brain barrier, and may be an underlying factor in the variable responses of patients to CNS drugs. However, the role of Pgp in the transport of many CNS drugs has not been directly demonstrated. To explore the role of Pgp in drug transport across an endothelial cell barrier derived from the central nervous system, the expression and activity of Pgp in bovine retinal endothelial cells (BRECs) and the effects of representative CNS drugs on Pgp activity were examined. Significant Pgp expression in BRECs was demonstrated by western analyses, and expression was increased by treatment of the cells with hydrocortisone. Intracellular accumulation of the well-characterized Pgp-substrate Taxol was markedly increased by the non-selective transporter inhibitor verapamil and the Pgp-selective antagonist PGP-4008, demonstrating that Pgp is active in these endothelial cells. In contrast, neither verapamil nor PGP-4008 affected the intracellular accumulation of [3H]paroxetine, [14C]phenytoin, [3H]clozapine or [14C]carbamazapine, indicating that these drugs are not substrates for Pgp. Paroxetine, clozapine and phenytoin were shown to be Pgp inhibitors, while carbamazapine did not inhibit Pgp at any concentration tested. These results indicate that Pgp is not likely to modulate patient responses to these drugs."
"28"	"Coupling of human nicotinic acetylcholine receptors alpha 7 to calcium channels in GH3 cells."	"Neuropharmacology"	2005	"15695160"	"The neuronal nicotinic acetylcholine receptor alpha7 (nAChR alpha7) may be involved in cognitive deficits in Schizophrenia and Alzheimer's disease. A fast pharmacological characterization of homomeric alpha7 receptors is mostly hampered by their low functional expression levels in heterologous expression systems. In the present study expression of homomeric nAChR alpha7 was achieved in GH3 rat pituitary cells. Alpha7 subunits were heterologously expressed as components of [125I]-labeled alpha-bungarotoxin binding nAChRs (Bmax: 1.2 pmol/mg protein). Function of the expressed alpha7 ion channels was assessed by patch-clamp recording and calcium imaging. While acetylcholine-induced currents desensitized within much less than 1 s, calcium-sensitive fluorescence transients peaked after 5-10 s and returned to background levels within 30 s only. The fluorescence signal was blocked by isradipine and removal of extracellular sodium indicated that in these cells opening of rapidly desensitizing alpha7 nAChR triggers calcium influx via voltage-gated, DHP-sensitive calcium channels. In this cellular system, agonists revealed the following rank order of potency: epibatidine&gt;anatoxin A&gt;AAR17779&gt;ABT-594&gt;DMPP&gt;nicotine&gt;GTS-21&gt;cytisine&gt;ABT-418&gt;acetylcholine&gt;choline&gt;ABT-089. All of the signals were inhibited by the alpha7 antagonists alpha-bungarotoxin (pIC50: 7.4) and methyllycaconitine (pIC50: 7.8). Further, marketed antidepressants showed antagonistic activity with the following rank order of potency: fluoxetine&gt;imipramine&gt;paroxetine&gt;sertraline. These data illustrate that coupling to voltage-gated calcium channels allows a rapid and reliable functional examination of nAChR alpha7."
"29"	"L-type Ca2+ channel blockers promote Ca2+ accumulation when dopamine receptors are activated in striatal neurons."	"Brain research. Molecular brain research"	2004	"15530653"	"Dopamine (DA) receptor-mediated signal transduction and gene expression play a central role in many brain disorders from schizophrenia to Parkinson's disease to addiction. While trying to evaluate the role of L-type Ca2+ channels in dopamine D1 receptor-mediated phosphorylation of the transcription factor cyclic AMP response element-binding protein (CREB), we found that activation of dopamine D1 receptors alters the properties of L-type Ca2+ channel inhibitors and turns them into facilitators of Ca2+ influx. In D1 receptor-stimulated neurons, L-type Ca2+ channel blockers promote cytosolic Ca2+ accumulation. This leads to the activation of a molecular signal transduction pathway and CREB phosphorylation. In the absence of dopamine receptor stimulation, L-type Ca2+ channel blockers inhibit CREB phosphorylation. The effect of dopamine on L-type Ca2+ channel blockers is dependent on protein kinase A (PKA), suggesting that protein phosphorylation plays a role in this phenomenon. Because of the adverse effect of activated dopamine receptors on L-type Ca2+ channel blocker action, the role of L-type Ca2+ channels in the dopamine D1 receptor signal transduction pathway cannot be assessed with pharmacological tools. However, with antisense technology, we demonstrate that L-type Ca2+ channels contribute to D1 receptor-mediated CREB phosphorylation. We conclude that the D1 receptor signal transduction pathway depends on L-type Ca2+ channels to mediate CREB phosphorylation."
"30"	"Anabasine, a selective nicotinic acetylcholine receptor agonist, antagonizes MK-801-elicited mouse popping behavior, an animal model of schizophrenia."	"Behavioural brain research"	2004	"15265637"	"The expression of the alpha7-nicotinic acetylcholine receptor is diminished in selected brain areas of patients with schizophrenia. This diminished expression may account for the pathophysiological deficits of sensory inhibition and smooth pursuit eye movement performance in these patients. Furthermore, the deficits in sensory inhibition and smooth pursuit eye movement performance in schizophrenia appear to be inherited in an autosomal dominant fashion; thus, the &quot;alpha7-nicotinic acetylcholine receptor-deficiency&quot; may be a necessary condition for expression of schizophrenia. This deficit has encouraged speculation about the possible therapeutic benefit of selective alpha7-nicotinic acetylcholine receptor agonist interventions in this disorder. In view of this, we sought to examine the effect of anabasine, a selective alpha7-nicotinic acetylcholine receptor agonist, on popping behavior in mice elicited by MK-801. MK-801, a high affinity analogue of phencyclidine (PCP), is a noncompetitive N-methyl-D-aspartic acid (NMDA) receptor antagonist that binds to the hydrophobic domain of this ligand-gated channel. PCP is known to precipitate a schizophreniform psychosis in susceptible individuals, causing productive (e.g. hallucinations) deficit (e.g. affective blunting, amotivation, and social withdrawal), cognitive and motor symptoms similar to those seen in naturally-occurring schizophrenia. Behaviors elicited by MK-801 in mice reflect a pharmacologically-induced state of NMDA receptor hypofunction (NRH), which has been proposed to exist in schizophrenia. Compounds that attenuate MK-801-elicited behaviors, which are identified in this animal model, may have the potential to treat schizophrenia, including deficit and cognitive symptoms. In the current study, anabasine attenuated MK-801-elicited popping at a dose that did not cause clonic seizures. The development of alpha7-nicotinic acetylcholine receptor agonist interventions for schizophrenia must consider their potential liability to elicit seizure activity."
"31"	"Calcium channel blockers for neuroleptic-induced tardive dyskinesia."	"The Cochrane database of systematic reviews"	2004	"14973950"	"BACKGROUND: Tardive dyskinesia is a disfiguring movement disorder of the orofacial region often caused by antipsychotic drugs. A wide range of strategies has been used to help manage tardive dyskinesia and, for people who are unable to have their antipsychotic medication stopped or substantially changed, the calcium-channel blocking group of drugs (diltiazem, nifedipine, nimodipine, verapamil) has been suggested as a useful adjunctive treatment.OBJECTIVES: To determine the effects of calcium-channel blocker drugs (diltiazem, nifedipine, nimodipine, verapamil) for treatment of neuroleptic-induced tardive dyskinesia in people with schizophrenia, schizoaffective disorder or other chronic mental illnesses.SEARCH STRATEGY: We updated previous searches of the Cochrane Schizophrenia Group Register (1982-2000), Cochrane Library (Issue 4, 2000), Cochrane Schizophrenia Group's register of trials (November 2000), EMBASE (1980-2000), LILACS (1982-2000), MEDLINE (1966-2000), PsycLIT (1974-2000), and SCISEARCH by searching the Cochrane Schizophrenia Group Register (September 2003). We searched references of all identified studies for further trial citations and contacted authors of trials.SELECTION CRITERIA: Randomised clinical trials comparing calcium-channel blockers to placebo or no intervention for people with both tardive dyskinesia and schizophrenia or serious mental illness.DATA COLLECTION AND ANALYSIS: Data were to have been independently extracted and analysed on an intention-to-treat basis. The relative risk (RR) and 95% confidence intervals (CI) of homogeneous dichotomous data were to have been calculated using a random effects model, and, where possible, the number needed to treat calculated. Weighted mean differences (WMD) were to have been calculated for continuous data.MAIN RESULTS: No trials were included. We excluded fourteen studies; eight were not randomised, one did not use calcium channel blockers and five small, randomised, studies reported no usable data.S CONCLUSIONS: The effects of calcium-channel blockers for antipsychotic induced tardive dyskinesia are unknown. Their use is experimental and should only be given in the context of well designed randomised studies."
"32"	"[Suicidal poisoning with antihypertensive drugs]."	"Przeglad lekarski"	2003	"14569890"	"In the period from 1990 to 2002, 201 patients with suicidal antihypertensive drugs poisoning were treated, including 138 women and 63 men from 15 to 84 (mean 36) years old. The main causes of suicides were various kinds of depression (63%) as well as psychopathy and/or sociopathy (16%) and schizophrenia (10%). Twenty eight patients attempted repeatedly to commit suicide. Thirty six persons were poisoned by only antihypertensive drugs, in 165 remaining cases intoxications were mixed including antihypertensive and other different medications. beta-blockers (38.3%), calcium channel blockers (34.8%), angiotensin converting enzyme inhibitors (24.3%) and diuretics (2.5%) were used in suicidal attempts. There were no suicidal poisonings with angiotensin II AT1 receptor antagonists, alpha 1-blockers and imidazole receptor agonists. In the examined group three patients died of cardiogenic shock, electromechanical dissociation and secondary acute respiratory failure resistant to therapy. The drugs used in these cases were propranolol, amlodipine, theophylline, captopril, doxepine, propafenone, furosemide, methimazole and alcohol. Mortality rate in antihypertensive drug poisonings was 1.5%."
"33"	"Uptake of clozapine into HL-60 promyelocytic leukaemia cells."	"Pharmacopsychiatry"	2002	"12107852"	"The atypical antipsychotic, clozapine, exerts superior efficacy in therapy-resistant schizophrenia, but unfortunately induces agranulocytosis with an incidence of 0.8 - 1 %. In this study, we investigated the cellular uptake of clozapine into human promyelocytic leukaemia HL-60 cells using HPLC with electrochemical detection. On incubation with 1.25 to 40 microM clozapine for 30 min, a saturable, energy- and temperature-dependent uptake process takes place (K m = 18.8 microM, k cat = 1.36 nmol/5 min/mg protein at 37 degrees C). This suggests membrane passage of clozapine by a carrier mechanism. 10 microM Indatraline, an inhibitor of dopamine, noradrenaline and serotonin (5-HT) reuptake, but not the selective 5-HT reuptake inhibitor fluvoxamine, markedly reduced the transport of clozapine by 62 %, whereas addition of 10 mM glucose to the incubation medium increased intracellular clozapine concentrations by 28 %. Since cyclosporine A, vinblastine or verapamil up to a final concentration of 10 microM did not alter the intracellular accumulation of clozapine, an involvement of P-glycoprotein seems to be unlikely. In summary, clozapine uptake into HL-60 cells meets criteria of an active unidirectional transport. Its molecular correlates remain to be established."
"34"	"Attenuation of ketamine effects by nimodipine pretreatment in recovering ethanol dependent men: psychopharmacologic implications of the interaction of NMDA and L-type calcium channel antagonists."	"Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology"	2001	"11750186"	"Ketamine blocks the calcium channel associated with N-methyl-D-aspartate (NMDA) glutamate receptors. It has transient behavioral effects in healthy humans that resemble aspects of schizophrenia, dissociative disorders, and ethanol intoxication. Ethanol is an antagonist of both NMDA receptors and L-type voltage-sensitive calcium channels (VSCC) and it has minimal psychotogenic activity in humans. A double-blind placebo-controlled study was conducted that evaluated whether pretreatment with the L-type VSCC antagonist, nimodipine, 90 mg D, modulated ketamine response (bolus 0.26 mg/kg, infusion of 0.65 mg/kg/hr) in 26 ethanol-dependent inpatients who were sober for at least one month prior to testing. This study found that nimodipine reduced the capacity of ketamine to induce psychosis, negative symptoms, altered perception, dysphoria, verbal fluency impairment, and learning deficits. Nimodipine improved memory function, but had no other intrinsic behavioral activity in this patient group. Nimodipine pretreatment attenuated the perceived similarity of ketamine effects to ethanol as well as ketamine-induced euphoria and sedation. However, nimodipine did not reduce the stimulant effects of ketamine. These data suggest that antagonism of L-type VSCCs attenuates the behavioral effects of NMDA antagonists in humans. They support the continued evaluation of nimodipine in the treatment of neuropsychiatric disorders. They also suggest that drugs, such as ethanol, that combine NMDA and L-type VSCC antagonism may have enhanced tolerability without attenuation of their stimulant effects."
"35"	"Calcium channel blockers for neuroleptic-induced tardive dyskinesia."	"The Cochrane database of systematic reviews"	2001	"11279683"	"BACKGROUND: Tardive dyskinesia (TD) is a potentially disfiguring movement disorder of the orofacial region often caused by use of neuroleptic drugs. A wide range of strategies has been used to help manage TD and, for those who are unable to have their antipsychotic medication stopped or substantially changed, the calcium-channel blocking group of drugs (diltiazem, nifedipine, nimodipine, verapamil) has been suggested as a useful adjunctive treatment.OBJECTIVES: To determine the effects of calcium-channel blocker drugs (diltiazem, nifedipine, nimodipine, verapamil) for treatment of neuroleptic-induced TD in people with schizophrenia, schizoaffective disorder or other chronic mental illnesses.SEARCH STRATEGY: Electronic searches of Biological Abstracts (1982-2000), Cochrane Library (Issue 4, 2000), Cochrane Schizophrenia Group's Register of trials (November 2000), EMBASE (1980-2000), LILACS (1982-2000), MEDLINE (1966-2000), PsycLIT (1974-2000), and SCISEARCH were undertaken. References of all identified studies were searched for relevant citations. Principal authors of trials were contacted.SELECTION CRITERIA: Randomised clinical trials comparing calcium-channel blockers to placebo or no intervention for people with both TD and schizophrenia or serious mental illness were reliably selected.DATA COLLECTION AND ANALYSIS: Data were to have been independently extracted and analysed on an intention-to-treat basis. The relative risk (RR) and 95% confidence intervals (CI) of homogeneous dichotomous data were to have been calculated using a random effects model, and, where possible, the number needed to treat calculated. Weighted mean differences (WMD) were to have been calculated for continuous data.MAIN RESULTS: No trials were included. Seven studies were excluded; five were not randomised and two small randomised crossover studies provided no usable data. Two more small randomised controlled trials await assessment. The authors have been contacted for relevant information.S CONCLUSIONS: Based on currently available information, no confident statement can be made about the effectiveness of calcium-channel blockers for treating people with neuroleptic-induced tardive dyskinesia. Before evaluation of these drugs in larger randomised controlled trials, clinicians should carefully weigh up the possible benefits against their potential adverse effects."
"36"	"Biophysical and molecular properties of annexin-formed channels."	"Progress in biophysics and molecular biology"	2000	"10958928"	"The annexins are water soluble proteins possessing a hydrophilic surface, which belong to a family of proteins which (a) bind ('annex') both calcium and phospholipids, and (b) form voltage-dependent calcium channels within planar lipid bilayers. Annexins types are diverse (94 annexins in 45 species) and they belong to an enormous multigene family that ranges throughout all eukaryotic kingdoms. Although the structure of these proteins is now well known their functional and physiological roles remain largely unknown and circumstantial. Various experimental approaches provided evidence that annexins function as Ca(2+) channels that could act as regulators of membrane fusion. The identity of annexins is derived from the conserved 34 kDa C-terminal domain which comprises four repeats - except for annexin VI, with eight repeats - of a sequence of approximately seventy amino acids, which holds the area known as the 'endonexin fold', with its identifying GXGTDE. Annexins have been placed into three subgroups of (1) tetrad core and short amino terminal, (2) tetrad core and long amino terminal, and (3) octad core and short amino terminal. The repeats are highly conserved, each forming a compact alpha-helical domain comprising five alpha-helices wound in a right-handed superhelix. Four domains are formed, arranged in a nearly flat and cyclical array, with domains I and IV, and II and III respectively forming two tightly organised modules with almost twofold symmetry. A hydrophilic pore lies at the centre of the molecule, forming a prominent ion channel coated with charged and highly conserved residues. The annexin molecule is slightly curved, with both a convex and a concave face. The cation/anion permeability ratios and the selectivity sequence of the ion channels formed by several annexins confirm the selectivity of the annexins for Ca(2+) over other divalent cations, and reveals the importance of structural sites, e.g. amino acid positions 17, 78, 95 and 112 for the identification of the ion channel's position, function and regulation. Some are sensitive to low doses of the phenothiazine drugs, trifluoperazine (an anti-schizophrenia drug) and promethazine (anti nausea drug) La(3+) and Cd(2+), (blockers of voltage-gated Ca(2+) channels) nifedipine (an inhibitor of non-activating Ca(2+) channels). There are two main competing models used to explain in vitro ion channel activity of annexins: one involves changes in the conductance of ion via electrostatic disturbance of the membrane surface; the other involves a much more extensive alteration in protein structure and a correspondingly deeper penetration into the membrane."
"37"	"Diltiazem, nifedipine, nimodipine or verapamil for neuroleptic-induced tardive dyskinesia."	"The Cochrane database of systematic reviews"	2000	"10796323"	"BACKGROUND: Tardive dyskinesia (TD) is a potentially disfiguring movement disorder of the orofacial region often caused by use of neuroleptic drugs. A wide range of strategies have been used to help manage TD and, for those who are unable to have their antipsychotic medication stopped or substantially changed, the calcium-channel blocking group of drugs (diltiazem, nifedipine, nimodipine, verapamil) has been suggested as a useful adjunctive treatment.OBJECTIVES: To determine the clinical efficacy of calcium-channel blockers in people with neuroleptic-induced tardive dyskinesia (TD) and schizophrenia or other chronic mental illnesses.SEARCH STRATEGY: Electronic searches of Biological Abstracts (1982-1995), Cochrane Schizophrenia Group's Register of trials (1995), EMBASE (1980-1995), LILACS (1982-1996), MEDLINE (1966-1995), PsycLIT (1974-1995), and SCISEARCH were undertaken. References of all identified studies were searched for further trial citations. Principal authors of trials were contacted.SELECTION CRITERIA: The inclusion criteria for all relevant randomised studies were that they should focus on people with schizophrenia or other chronic mental illnesses, with neuroleptic-induced TD and compare the use of calcium-channel blockers to placebo or no intervention.DATA COLLECTION AND ANALYSIS: No data could be extracted from the two randomised controlled trials that are currently awaiting assessment. The authors have been contacted to provide the relevant information.MAIN RESULTS: No studies met the entry criteria. No data were synthesized.S CONCLUSIONS: Based on currently available information, no confident statement can be made about the effectiveness of calcium-channel blockers for treating people with neuroleptic-induced tardive dyskinesia. Before evaluation of these drugs in larger randomised controlled trials, clinicians should carefully weigh up their possible benefits against their potential adverse effects."
"38"	"Comparative pharmacology of bipolar disorder and schizophrenia."	"Schizophrenia research"	1999	"10507527"	"The treatment of acute mania and schizophrenia overlap considerably in terms of the typical and atypical neuroleptics, but begin to diverge with the recognized mood stabilizers for bipolar affective illness--lithium, carbamazepine, and valproate--which are substantially less effective in schizophrenia than in affective illness. Moreover, the L-type calcium channel blocker verapamil is reported to be effective in mania, but it may exacerbate schizophrenia. A series of new putative mood stabilizing anticonvulsants (such as lamotrigine, gabapentin, and topiramate) and possible second-messenger targeted treatments (tamoxifen and omega-3 fatty acids) deserve further study in both affective and schizophrenic syndromes. Repeated transcranial magnetic stimulation (rTMS) of the brain offers considerable promise in the treatment of a variety of neuropsychiatric syndromes, especially with preliminary evidence of frequency-dependent effects on regional cerebral blood flow. New insights about the potential neurotrophic effects of lithium and the gene transcriptional effects of other psychotropics offer exciting new targets for therapeutics and strategies for future clinical trials and therapeutic applications in both syndromes."
"39"	"Calcium channel blockers in psychiatric disorders: a review of the literature."	"Canadian journal of psychiatry. Revue canadienne de psychiatrie"	1999	"10500866"	"OBJECTIVES: To review the published literature of the past 15 years regarding use of calcium channel blockers (CCBs) in psychiatric practice. These drugs, especially verapamil, have been recommended as possible treatments for mania and other disorders.METHODS: The Cumulative Medical Index and other databases were searched and back-tracked to locate relevant articles. Sixty-one such articles were uncovered: 37 anecdotal reports, 7 partially controlled reports, and 17 controlled trials.RESULTS: Most studies involved treatment of mania using verapamil. Although anecdotal reports were generally favourable, results from partially controlled reports or controlled clinical trials were mixed. Generally, verapamil was less effective than was lithium or placebo. Treatment of depression with CCBs was not very successful, regardless of the type of trial; the best trial was negative. The same was true for the treatment of schizophrenia, although the cases studied were extremely chronic and treatment-resistant. Evidence for efficacy in other illnesses, such as Alzheimer's disease or tardive dyskinesia was scanty but suggested that further trials might be in order.CONCLUSIONS: CCBs do not at present have an established place in psychiatric treatment. Nonetheless, clinicians faced with a manic patient not responsive to other antimanic drugs, either alone or in combination, might consider adding verapamil as an adjunct. A study bearing on this specific issue is needed to determine whether or not such off-label use would really be justified."
"40"	"Treatment of clozapine induced hypertension and possible mechanisms."	"Clinical neuropharmacology"	1998	"9579304"	""
"41"	"Effects of nifedipine, a calcium channel antagonist, on cognitive function in schizophrenic patients with tardive dyskinesia."	"Clinical neuropharmacology"	1997	"9260735"	"We examined whether nifedipine, a calcium channel antagonist, added to a stable regimen of neuroleptic medication would affect cognition in patients with chronic schizophrenia or schizoaffective disorder who had tardive dyskinesia. Fifteen patients with tardive dyskinesia were treated with nifedipine (60 mg daily) or matching placebo for 4 weeks and then were crossed over from nifedipine to placebo or from placebo to nifedipine for another 4 weeks. At the end of each 4-week phase of the study, the patients performed a rotary pursuit test of procedural learning and a dementia scale assessing general cognitive abilities. Nifedipine improved performance in the rotary pursuit test and conceptual abilities in the dementia scale compared with placebo, but only for patients who first were exposed to the tests during the placebo condition. These results provide preliminary evidence that calcium channel antagonists might enhance learning and memory in schizophrenic patients with tardive dyskinesia."
"42"	"Unbiased cocaine conditioned place preferences (CPP) obscures conditioned locomotion, and nimodipine blockade of cocaine CPP is due to conditioned place aversions."	"Psychopharmacology"	1997	"9160848"	"The effect of nimodipine (0, 0.1, 1.0 and 10 mg/kg, SC), a dihydropyridine L-type Ca2+ channel antagonist, on the establishment of cocaine-(10 mg/kg IP) conditioned place preferences (CPP) was investigated. Nimodipine produced conditioned place aversions (CPA) on its own; reductions in cocaine CPP are apparently due to this CPA. There is a high negative correlation between time spent in the CS+ compartment and the difference in locomotion rates between the CS+ and the non-drug (CS-) compartments, independent of drug effects. This relationship is responsible for an increased rate of locomotion observed in the CS- compartment in cocaine-conditioned rats. Analysis of covariance indicated that cocaine CPP occurred independently of cocaine's effects on locomotion. Furthermore, cocaine produces an increase in the rate of locomotion in the CS+ compartment when time spent in this compartment is equated with time spent in the CS- compartment. This suggests that cocaine's effects on CPP and &quot;conditioned&quot; locomotion are due to separate mechanisms of action. On the other hand, nimodipine-induced place aversions and locomotor rates are not independent of each other, indicating a common mechanism of action, or that one is a consequence of the other. It is concluded that place preferences and place aversions can sometimes be secondary to compartment-specific locomotor changes, and locomotion effects can be confounded by differential times spent in each compartment. The relationships between these two behaviours must be controlled for before conclusions of CPP or CPA can be drawn in drug conditioning studies."
"43"	"Calcium channel blockers for anxiety disorders?"	"Annals of clinical psychiatry : official journal of the American Academy of Clinical Psychiatrists"	1996	"8986318"	"The role of calcium in the etiology of anxiety has been proposed for several decades. Calcium channel blockers profoundly influence calcium metabolism and the transport of calcium. Even though the evidence for the role of calcium remains weak, drugs affecting calcium might be useful in the treatment of anxiety disorders. One of these compounds, verapamil, has been used to treat mood disorders. Calcium channel blockers have also been tried in other indications such as premenstrual syndrome, irritable bowel syndrome, schizophrenia, tardive dyskinesia, and Tourette's syndrome. However, the number of articles on the use of calcium channel blockers in the treatment of anxiety disorders is low. Three reports (two open, one double-blind) described some success in the treatment of panic disorder with verapamil, diltiazem, or nimodipine and one open-label study described unsuccessful treatment of anxiety and phobia with nifedipine in patients with various anxiety disorders. Further double-blind placebo-controlled studies of calcium channel blockers in the treatment of anxiety disorders are warranted to determine a possible role of these compounds in the armamentarium of antianxiety drugs."
"44"	"Nilvadipine is effective for chronic schizophrenia in a double-blind placebo-controlled study. off."	"Journal of clinical psychopharmacology"	1996	"8959468"	"We investigated the efficacy of nilvadipine, a calcium channel inhibitor, for psychiatric symptoms and tardive dyskinesia in 30 patients with chronic schizophrenia in a placebo-controlled double-blind crossover study. The total scores of the Brief Psychiatric Rating Scale decreased significantly when the patients were on nilvadipine compared with placebo. Improvement was particularly significant in emotional withdrawal and uncooperativeness. Nilvadipine was not effective, however, for tardive dyskinesia. No adverse effects, such as hypotension, occurred."
"45"	"Anticholinergic overdose induced torsade de pointes successfully treated with verapamil."	"Japanese heart journal"	1996	"9057687"	"An 18-year-old schizophrenic female was recently treated after overdosing on trihexyphenidyl, thioridazine and an unknown antidepressant. On presentation to a local hospital, she was cyanotic with dilatated pupils and in acute respiratory failure. She was intubated prior to transfer. While in our Emergency Department, she exhibited occasional premature ventricular contractions which later became intermittent torsade de pointes. As this was an anticholinergic overdose we infused sodium bicarbonate in an attempt to increase protein binding, hoping to decrease the concentration of toxic metabolites. We also tried to suppress the dysrhythmia by infusing magnesium. The potassium level was borderline low so a supplemental infusion was initiated. Defibrillation was attempted. To try to shorten the action potential duration by activating the K+ channel, an isuprel infusion was also attempted. All methods failed. The patient fluctuated between an irregular sinus rhythm with prolonged QT interval and pulseless torsade de pointes for almost 24 hours. At all times, she responded appropriately to pain. Finally we attempted blockade of the calcium channel using verapamil with dramatic results. Each single bolus (0.1 mg/kg) successfully converted the patient back to sinus rhythm for some 15-20 minutes before the torsade recurred. After the initiation of a continuous verapamil infusion (0.005 mg/kg/hr), the patient remained in stable sinus rhythm. Verapamil proved highly effective in this patient with an anticholinergic overdose induced dysrhythmia."
"46"	"Administration of antidepressants, diazepam and psychomotor stimulants further confirms the utility of Flinders Sensitive Line rats as an animal model of depression."	"Psychopharmacology"	1995	"8539339"	"Flinders Sensitive Line (FSL) rats have been proposed as an animal model of depression because they resemble depressed humans in that they have elevated REM sleep, reduced activity, and increased immobility and anhedonia after exposure to stressors. The present paper reviews experiments on the drug treatment of FSL and control Flinders Resistant Line (FRL) rats related to their utility as an animal model of depression, and presents new information. FSL rats exhibited exaggerated immobility in the forced swim test which is counteracted by the tricyclic antidepressants imipramine and desipramine and the serotonin reuptake blocker sertraline; the low immobility exhibited by the FRL rats is generally unaffected by these compounds. In contrast to these &quot;therapeutic&quot; effects of well recognized antidepressants, lithium and bright light treatment did not alter the exaggerated immobility of FSL rats. Novel data indicated that neither FSL nor FRL rats exhibited alterations in swim test immobility following chronic administration of the psychomotor stimulant amphetamine (2 mg/kg) and the anticholinergic scopolamine (2 mg/kg), which typically reduce immobility after acute administration. However, it was found that the calcium channel blockers verapamil (5 and 15 mg/kg) and nicardipine (10 mg/kg) did reduce the exaggerated immobility in FSL rats following chronic administration, suggesting that these compounds need to be evaluated further in humans. Previous studies have indicated no differences between FSL and FRL rats evaluated in the elevated plus maze, either at baseline or after the administration of diazepam, suggesting that the FSL rat may not differ from controls in anxiety-related behavior. Another recently published study showed that the FSL rat also did not differ from normal Sprague-Dawley rats in startle tests, indicating that the FSL rats do not exhibit behaviors shown in animal models of schizophrenia. These findings confirm the utility of FSL rats as an animal model of depression because the FSL rats do not appear to exhibit behaviors analogous to anxiety or schizophrenia and because they respond &quot;therapeutically&quot; to antidepressants and not psychomotor stimulants."
"47"	"Effectiveness of nilvadipine in two cases of chronic schizophrenia."	"Psychiatry and clinical neurosciences"	1995	"9179944"	"Nilvadipine is a calcium channel inhibitor used commonly for the treatment of cerebrovascular insufficiency. We observed two patients with schizophrenia whose psychiatric symptoms and tardive dyskinesia improved after the addition of nilvadipine to their antipsychotic drug regimen. The total score of the brief psychiatric rating scale (BPRS) in case 1 fell from 56 to 42 after 8 weeks on nilvadipine; while that of case 2 fell from 44 to 32. The total score of the abnormal involuntary movement scale (AIMS) in case 2 decreased from 12 to 7. No adverse effects occurred during treatment. Nilvadipine may thus offer a new approach to the adjunctive treatment of schizophrenia."
